date,open,high,low,close,adjusted_close,volume
2021-09-10,1.303,1.3437,1.3005,1.3411,1.3411,0
2021-09-13,1.3403,1.3497,1.3132,1.3259,1.3259,0
2021-09-14,1.3259,1.348,1.2744,1.2913,1.2913,0
2021-09-15,1.2913,1.3192,1.2626,1.3014,1.3014,0
2021-09-16,1.3014,1.3514,1.2947,1.3353,1.3353,0
2021-09-17,1.3353,1.3838,1.3277,1.3711,1.3711,0
2021-09-20,1.3711,1.3711,1.3032,1.3125,1.3125,0
2021-09-21,1.3125,1.3473,1.3057,1.3252,1.3252,0
2021-09-22,1.3252,1.3439,1.2964,1.3108,1.3108,0
2021-09-23,1.3108,1.4345,1.3066,1.4345,1.4345,0
2021-09-24,1.4345,1.463,1.4063,1.4544,1.4544,0
2021-09-27,1.4544,1.5123,1.445,1.4846,1.4846,0
2021-09-28,1.4846,1.5618,1.4795,1.5409,1.5409,0
2021-09-29,1.5409,1.5593,1.4986,1.5211,1.5211,0
2021-09-30,1.5211,1.555,1.4865,1.4874,1.4874,0
2021-10-01,1.4874,1.5092,1.4625,1.4634,1.4634,0
2021-10-04,1.4634,1.5075,1.4548,1.4824,1.4824,0
2021-10-05,1.4824,1.5389,1.4773,1.5293,1.5293,0
2021-10-06,1.5293,1.572,1.5103,1.5242,1.5242,0
2021-10-07,1.5242,1.5782,1.5173,1.5774,1.5774,0
2021-10-08,1.5774,1.6145,1.5594,1.6127,1.6127,0
2021-10-12,1.6127,1.6304,1.5682,1.5752,1.5752,0
2021-10-13,1.5752,1.6033,1.5291,1.5386,1.5386,0
2021-10-14,1.5386,1.5623,1.5109,1.5161,1.5161,0
2021-10-15,1.5161,1.5791,1.5161,1.5748,1.5748,0
2021-10-18,1.5748,1.6267,1.5748,1.5959,1.5959,0
2021-10-19,1.5959,1.6435,1.567,1.6391,1.6391,0
2021-10-20,1.6391,1.6701,1.6198,1.6604,1.6604,0
2021-10-21,1.6604,1.7021,1.6428,1.7021,1.7021,0
2021-10-22,1.7021,1.7021,1.6334,1.6361,1.6361,0
2021-10-25,1.6361,1.6724,1.6229,1.6353,1.6353,0
2021-10-26,1.6353,1.6522,1.608,1.6098,1.6098,0
2021-10-27,1.6098,1.6346,1.5213,1.5493,1.5493,0
2021-10-28,1.5493,1.581,1.5336,1.5792,1.5792,0
2021-10-29,1.5792,1.6226,1.5365,1.5601,1.5601,0
2021-11-01,1.5601,1.6007,1.5549,1.562,1.562,0
2021-11-02,1.562,1.5752,1.5305,1.5533,1.5533,0
2021-11-03,1.5533,1.6079,1.5227,1.6061,1.6061,0
2021-11-04,1.6061,1.6071,1.5114,1.5841,1.5841,0
